0,2658
1,2633
2,1905
3,1248
4,1111
5,1073
6,1054
7,1167
8,1143
9,1105
10,1198
11,1093
12,1183
13,1107
14,1174
15,1226
16,1209
17,1294
18,1252
19,1332
20,1384
21,1268
22,1380
23,1330
24,1415
25,1381
26,1430
27,1408
28,1506
29,1422
30,1520
31,1514
32,1429
33,1598
34,1502
35,1591
36,1591
37,1572
38,1665
39,1624
40,1648
41,1689
42,1727
43,1736
44,1710
45,1693
46,1613
47,1809
48,1764
49,1720
50,1708
51,1783
52,1736
53,1784
54,1800
55,1782
56,1803
57,1820
58,1793
59,1765
60,1723
61,1850
62,1750
63,1799
64,1843
65,1929
66,1799
67,1758
68,1831
69,1812
70,1849
71,1862
72,1847
73,1888
74,1813
75,1897
76,1858
77,1812
78,1861
79,1873
80,1841
81,1845
82,1868
83,1987
84,1898
85,1906
86,1865
87,1899
88,1899
89,1959
90,1928
91,1946
92,2045
93,1970
94,1942
95,2067
96,2036
97,2070
98,2049
99,2099
100,2007
101,1942
102,2185
103,2101
104,2162
105,2265
106,2143
107,2219
108,2075
109,2203
110,2201
111,2245
112,2238
113,2192
114,2235
115,2197
116,2251
117,2226
118,2301
119,2212
120,2261
121,2253
122,2225
123,2295
124,2260
125,2311
126,2287
127,2299
128,2319
129,2277
130,2280
131,2371
132,2242
133,2351
134,2399
135,2335
136,2422
137,2287
138,2420
139,2440
140,2388
141,2434
142,2357
143,2378
144,2465
145,2376
146,2520
147,2506
148,2494
149,2595
150,2568
151,2569
152,2590
153,2738
154,2753
155,2676
156,2744
157,2665
158,2700
159,2727
160,2769
161,2785
162,2794
163,2809
164,2972
165,2899
166,3003
167,2969
168,2947
169,2983
170,3003
171,2972
172,3075
173,2993
174,2986
175,3043
176,3113
177,3020
178,3144
179,2983
180,3031
181,3063
182,3015
183,3174
184,3040
185,3036
186,3175
187,3043
188,3074
189,3037
190,2998
191,3022
192,2922
193,2976
194,2996
195,2855
196,3013
197,3023
198,2959
199,2971
200,2870
201,2920
202,2915
203,2810
204,2668
205,2671
206,2624
207,2706
208,2554
209,2572
210,2497
211,2528
212,2457
213,2361
214,2297
215,2298
216,2198
217,2224
218,2101
219,2099
220,2055
221,1977
222,1849
223,1772
224,1800
225,1730
226,1715
227,1732
228,1622
229,1464
230,1366
231,1351
232,1313
233,1220
234,1189
235,1206
236,1115
237,1046
238,1027
239,947
240,903
241,839
242,791
243,721
244,703
245,633
246,603
247,563
248,568
249,542
250,689
251,571
252,688
253,836
254,611
255,60
